"Time (s)","Channel 1 (V)","Channel 2 (V)"
0.0031182385177453,0.997618697453557,2.54888330336107
0.0031194885177453,0.997618697453557,2.54519300338465
0.0031207385177453,0.997618697453557,2.54888330336107
0.0031219885177453,0.997618697453557,2.54888330336107
0.0031232385177453,0.993953132549596,2.54519300338465
0.0031244885177453,0.993953132549596,2.54519300338465
0.0031257385177453,0.993953132549596,2.54519300338465
0.0031269885177453,0.997618697453557,2.54519300338465
0.0031282385177453,0.993953132549596,2.54519300338465
0.0031294885177453,1.00128426235752,2.53781240343181
0.0031307385177453,0.993953132549596,2.54150270340823
0.0031319885177453,0.993953132549596,2.54150270340823
0.0031332385177453,0.993953132549596,2.54519300338465
0.0031344885177453,0.997618697453557,2.54519300338465
0.0031357385177453,0.997618697453557,2.54519300338465
0.0031369885177453,0.993953132549596,2.54519300338465
0.0031382385177453,0.997618697453557,2.54519300338465
0.0031394885177453,0.993953132549596,2.54888330336107
0.0031407385177453,0.993953132549596,2.54888330336107
0.0031419885177453,0.990287567645635,2.54519300338465
0.0031432385177453,0.990287567645635,2.54519300338465
0.0031444885177453,0.997618697453557,2.54150270340823
0.0031457385177453,1.00128426235752,2.54519300338465
0.0031469885177453,0.997618697453557,2.54519300338465
0.0031482385177453,0.997618697453557,2.54150270340823
0.0031494885177453,0.993953132549596,2.54519300338465
0.0031507385177453,0.997618697453557,2.54519300338465
0.0031519885177453,1.00494982726148,2.54150270340823
0.0031532385177453,0.997618697453557,2.54888330336107
0.0031544885177453,1.00128426235752,2.54519300338465
0.0031557385177453,1.00128426235752,2.54519300338465
0.0031569885177453,0.997618697453557,2.54519300338465
0.0031582385177453,0.997618697453557,2.54519300338465
0.0031594885177453,0.993953132549596,2.54888330336107
0.0031607385177453,0.993953132549596,2.54888330336107
0.0031619885177453,0.997618697453557,2.54519300338465
0.0031632385177453,0.993953132549596,2.54150270340823
0.0031644885177453,0.993953132549596,2.54150270340823
0.0031657385177453,0.997618697453557,2.54519300338465
0.0031669885177453,0.993953132549596,2.54519300338465
0.0031682385177453,0.997618697453557,2.54519300338465
0.0031694885177453,0.993953132549596,2.54519300338465
0.0031707385177453,0.993953132549596,2.54519300338465
0.0031719885177453,0.993953132549596,2.54888330336107
0.0031732385177453,1.00128426235752,2.54519300338465
0.0031744885177453,1.00128426235752,2.54150270340823
0.0031757385177453,1.00128426235752,2.54519300338465
0.0031769885177453,0.997618697453557,2.54519300338465
0.0031782385177453,0.993953132549596,2.54150270340823
0.0031794885177453,0.993953132549596,2.54519300338465
0.0031807385177453,0.997618697453557,2.54519300338465
0.0031819885177453,0.997618697453557,2.54519300338465
0.0031832385177453,0.997618697453557,2.54888330336107
0.0031844885177453,0.997618697453557,2.54888330336107
0.0031857385177453,0.997618697453557,2.54150270340823
0.0031869885177453,1.00128426235752,2.54519300338465
0.0031882385177453,0.997618697453557,2.54519300338465
0.0031894885177453,0.993953132549596,2.54519300338465
0.0031907385177453,0.997618697453557,2.54150270340823
0.0031919885177453,0.997618697453557,2.54150270340823
0.0031932385177453,0.997618697453557,2.54519300338465
0.0031944885177453,0.997618697453557,2.54519300338465
0.0031957385177453,0.993953132549596,2.54888330336107
0.0031969885177453,1.00128426235752,2.53781240343181
0.0031982385177453,0.997618697453557,2.54888330336107
0.0031994885177453,0.997618697453557,2.54888330336107
0.0032007385177453,0.997618697453557,2.54519300338465
0.0032019885177453,0.997618697453557,2.54888330336107
0.0032032385177453,0.997618697453557,2.54519300338465
0.0032044885177453,0.997618697453557,2.54519300338465
0.0032057385177453,0.997618697453557,2.54150270340823
0.0032069885177453,0.990287567645635,2.54150270340823
0.0032082385177453,0.997618697453557,2.54519300338465
0.0032094885177453,0.993953132549596,2.54888330336107
0.0032107385177453,0.993953132549596,2.54519300338465
0.0032119885177453,0.993953132549596,2.54519300338465
0.0032132385177453,0.997618697453557,2.54519300338465
0.0032144885177453,0.997618697453557,2.54150270340823
0.0032157385177453,1.00128426235752,2.54519300338465
0.0032169885177453,0.997618697453557,2.54150270340823
0.0032182385177453,1.00128426235752,2.54519300338465
0.0032194885177453,0.993953132549596,2.54519300338465
0.0032207385177453,0.993953132549596,2.54150270340823
0.0032219885177453,0.993953132549596,2.54519300338465
0.0032232385177453,0.997618697453557,2.54888330336107
0.0032244885177453,0.997618697453557,2.54519300338465
0.0032257385177453,0.993953132549596,2.53781240343181
0.0032269885177453,1.00128426235752,2.54519300338465
0.0032282385177453,1.00128426235752,2.54519300338465
0.0032294885177453,1.00128426235752,2.54150270340823
0.0032307385177453,0.997618697453557,2.54519300338465
0.0032319885177453,0.993953132549596,2.54519300338465
0.0032332385177453,0.993953132549596,2.54150270340823
0.0032344885177453,0.997618697453557,2.54150270340823
0.0032357385177453,0.990287567645635,2.54150270340823
0.0032369885177453,0.993953132549596,2.54150270340823
0.0032382385177453,0.997618697453557,2.54519300338465
0.0032394885177453,0.997618697453557,2.54519300338465
0.0032407385177453,0.993953132549596,2.54519300338465
0.0032419885177453,1.00128426235752,2.54519300338465
0.0032432385177453,0.997618697453557,2.54519300338465
0.0032444885177453,0.997618697453557,2.54519300338465
0.0032457385177453,0.997618697453557,2.54519300338465
0.0032469885177453,0.993953132549596,2.54519300338465
0.0032482385177453,0.997618697453557,2.54519300338465
0.0032494885177453,1.00128426235752,2.54519300338465
0.0032507385177453,0.997618697453557,2.54519300338465
0.0032519885177453,1.00128426235752,2.54519300338465
0.0032532385177453,1.00128426235752,2.54519300338465
0.0032544885177453,0.993953132549596,2.54519300338465
0.0032557385177453,0.993953132549596,2.5525736033375
0.0032569885177453,0.997618697453557,2.54519300338465
0.0032582385177453,0.990287567645635,2.54519300338465
0.0032594885177453,0.997618697453557,2.54150270340823
0.0032607385177453,0.993953132549596,2.54519300338465
0.0032619885177453,0.993953132549596,2.54519300338465
0.0032632385177453,0.997618697453557,2.54519300338465
0.0032644885177453,0.997618697453557,2.54150270340823
0.0032657385177453,0.997618697453557,2.54150270340823
0.0032669885177453,1.00128426235752,2.54888330336107
0.0032682385177453,0.993953132549596,2.54150270340823
0.0032694885177453,0.997618697453557,2.54150270340823
0.0032707385177453,0.997618697453557,2.54150270340823
0.0032719885177453,0.997618697453557,2.54150270340823
0.0032732385177453,1.00128426235752,2.54519300338465
0.0032744885177453,1.00128426235752,2.54888330336107
0.0032757385177453,0.997618697453557,2.54519300338465
0.0032769885177453,1.00128426235752,2.54519300338465
0.0032782385177453,0.997618697453557,2.54888330336107
0.0032794885177453,0.997618697453557,2.54150270340823
0.0032807385177453,0.997618697453557,2.54519300338465
0.0032819885177453,0.997618697453557,2.54150270340823
0.0032832385177453,0.993953132549596,2.54519300338465
0.0032844885177453,0.997618697453557,2.54150270340823
0.0032857385177453,0.997618697453557,2.54150270340823
0.0032869885177453,0.997618697453557,2.54519300338465
